#                        Columns  are        formatted  as       (channel, RX/TX)
#_Node_ID                (0, RX)  (0, TX)    (1, RX)  (1, TX)    (2, RX)  (2, TX)
c0:98:e5:50:50:44:50:1c    32952        0      32794       18      32857       34
c0:98:e5:50:50:44:50:3e    32935        0      32778       19      32830       35
c0:98:e5:50:50:44:50:24    32930        0      32778       22      32825       35
c0:98:e5:50:50:44:50:38    32963        0      32808       14      32864       37
c0:98:e5:50:50:44:50:37    32947        0      32790       25      32841       35
c0:98:e5:50:50:44:50:29    32945        0      32790       13      32842       39
c0:98:e5:50:50:44:50:36    32965        0      32813       15      32868       40
c0:98:e5:50:50:44:50:1f    32942        0      32787       29      32837       36
c0:98:e5:50:50:44:50:39    32942        0      32783       15      32841       36
c0:98:e5:50:50:44:50:3c    32953        0      32799       19      32850       40
c0:98:e5:50:50:44:50:28    32897        0      32724       19      32764       35
c0:98:e5:50:50:44:50:2e    32934        0      32768       18      32810       33
c0:98:e5:50:50:44:50:2f    32935        0      32766       16      32816       35
c0:98:e5:50:50:44:50:22    32937        0      32785       17      32834       34
c0:98:e5:50:50:44:50:23    32942        0      32780       20      32833       41
c0:98:e5:50:50:44:50:2a    32943        0      32781       16      32837       38
c0:98:e5:50:50:44:50:27    32942        0      32785       12      32835       36
c0:98:e5:50:50:44:50:2b    32945        0      32782       16      32836       37
c0:98:e5:50:50:44:50:2c    32923        0      32766       23      32815       35
c0:98:e5:50:50:44:50:26    32931        0      32769       23      32819       37
c0:98:e5:50:50:44:50:3f    32938        0      32773       18      32828       36
c0:98:e5:50:50:44:50:30    32893        0      32747       23      32771       37
c0:98:e5:50:50:44:50:31    32958        0      32793       10      32848       33
