Reference, Quantity, Value, Footprint, Datasheet, ManPartNo, DistPartNo
C20 ,1,4.7uF,Capacitors_SMD:C_0805,,GRM21BR61H475KE51L,490-10751-1-ND
C21 C22 ,2,10uF,Capacitors_SMD:C_0805,,GRM21BR61C106KE15K,490-6473-1-ND
C1 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C2 C23 C24 C25 C26 C27 C28 C29 C3 C30 C4 C5 C6 C7 C8 C9 ,27,0.1uF,Capacitors_SMD:C_0402,,GRM155R62A104KE14D,490-10458-1-ND
CON1 ,1,BARREL_JACK,Connect:BARREL_JACK,,PJ-002B,CP-002B-ND
D1 ,1,D_Schottky,Diodes_SMD:SOD-323,,BSR106WS-TP,BSR106WS-TPMSCT-ND
J1 J2 J3 J4 J5 ,5,RJ45,polypoint:RJ45_8,,A-2004-2-4-LPS-N-R,AE10387-ND
J6 ,1,TC2030-JLINK-NL,polypoint:TC2030,
L1 ,1,22uH,polypoint:NR6045,,NR6045T220M,587-2082-1-ND
P1 P6 ,2,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,
P10 P2 P3 P4 P5 P7 P8 P9 ,8,SMA,polypoint:SMA_EDGE,,CONSMA003.062,CONSMA003.062-ND
R1 R2 ,2,100,Resistors_SMD:R_0402,,ERJ-2RKF1000X,P100LCT-ND
R10 ,1,9.53K,Resistors_SMD:R_0402,,ERJ-2RKF9531X,P9.53KLCT-ND
R3 R4 ,2,150,Resistors_SMD:R_0402,,ERJ-2RKF1500X,P150LCT-ND
R5 ,1,130,Resistors_SMD:R_0402,,ERJ-2RKF1300X,P130LCT-ND
R6 ,1,DNP,Resistors_SMD:R_0402,
R7 ,1,11K,Resistors_SMD:R_0402,,ERJ-2RKF1102X,P11.0KLCT-ND
R8 ,1,4.7K,Resistors_SMD:R_0402,,ERJ-2RKF4701X,P4.70KLCT-ND
R9 ,1,49.9K,Resistors_SMD:R_0402,,ERJ-2RKF4992X,P49.9KLCT-ND
U1 ,1,SN74AVC1T45,TO_SOT_Packages_SMD:SC-70-6,,SN74AVC1T45DCKR,296-17992-1-ND
U11 ,1,NCP1117,TO_SOT_Packages_SMD:SOT-223,,NCP1117ST33T3G,NCP1117ST33T3GOSCT-ND
U10 U2 ,2,551S,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,551SDCGI,800-2901-5-ND
U3 U9 ,2,ICS8545,Housings_SSOP:TSSOP-20_4.4x6.5mm_Pitch0.65mm,,8545BGLF,800-2074-ND
U4 ,1,AOZ1282CI,TO_SOT_Packages_SMD:SOT-23-6,,AOZ1282CI,785-1613-1-ND
U5 ,1,SI5317,polypoint:QFN-36_1EP_6x6mm,,SI5317D-C-GM,336-1920-ND
U6 ,1,7N-XX.XXXMBP-T,polypoint:7N-xx.xxxMBP-T,,7N-38.400MBP-T,887-2506-1-ND
U7 ,1,STM32F031G6U6,polypoint:UFQFPN-28,,STM32F031G6U6,497-13620-ND
U8 ,1,830S21,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,830S21AMI-01LF,800-3330-5-ND
