Reference, Quantity, Value, Footprint, Datasheet, ManPartNo, DistPartNo
C1 C6 C7 C8 ,4,0.1uF,Capacitors_SMD:C_0402,,GRM155R62A104KE14D,490-10458-1-ND
C2 C3 ,2,4.7uF,Capacitors_SMD:C_0805,,GRM21BR61H475KE51L,490-10751-1-ND
C4 ,1,10uF,Capacitors_SMD:C_0805,,GRM21BR61C106KE15K,490-6473-1-ND
C5 ,1,10nF,Capacitors_SMD:C_0402,,GRM155R71H103KA88D,490-4516-1-ND
D1 ,1,D_Schottky,Diodes_SMD:SOD-323,,BSR106WS-TP,BSR106WS-TPMSCT-ND
J1 ,1,RJ45,polypoint:RJ45_8,,A-2004-2-4-LPS-N-R,AE10387-ND
L1 ,1,22uH,polypoint:NR6045,,NR6045T220M,587-2082-1-ND
P1 P3 ,2,SMA,polypoint:SMA_EDGE,,CONSMA003.062,CONSMA003.062-ND
P4 ,1,CONN_01X06,Pin_Headers:Pin_Header_Straight_1x06,
P2 P5 ,2,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,
P6 ,1,CONN_02X10,Pin_Headers:Pin_Header_Straight_2x10,,SSQ-110-03-T-D,SAM1204-10-ND
P7 ,1,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
R1 ,1,4.7K,Resistors_SMD:R_0402,,ERJ-2RKF4701X,P4.70KLCT-ND
R2 R5 ,2,100,Resistors_SMD:R_0402,, ERJ-2RKF1000X,P100LCT-ND
R3 ,1,49.9K,Resistors_SMD:R_0402,,ERJ-2RKF4992X,P49.9KLCT-ND
R4 ,1,9.53K,Resistors_SMD:R_0402,,ERJ-2RKF9531X,P9.53KLCT-ND
U1 ,1,AOZ1282CI,TO_SOT_Packages_SMD:SOT-23-6,,AOZ1282CI,785-1613-1-ND
U2 ,1,MAX8877,TO_SOT_Packages_SMD:SOT-23-5,,MAX8877EUK33+T,MAX8877EUK33+CT-ND
U3 U4 ,2,830S21,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,830S21AMI-01LF,800-3330-5-ND
