Qty,Value,Device,Package,Parts,Description,DIGIKEY,MOUSER,NEWARK,RICHARDSON_RFPD,
3,LINX-SMA-EDGE-0.062,LINX-SMA-EDGE-0.062,CONSMA003.062,"A1, A2, A3",CONN SMA JACK 50 OHM EDGE MNT,CONSMA003.062-ND,,,,y
1,FRACTUS-2.4GHZ-FR05-S1-N-0-102,FRACTUS-2.4GHZ-FR05-S1-N-0-102,FRACTUS-ANTENNA-FR05-S1-N-0-102,A4,"Fractus Compact Reach XtendTM chip antenna is engineered specifically for Bluetooth,",,,,FR05-S1-N-0102B,y
1,BAL-NRF01D3,BAL-NRF01D3,BAL-NRF01D3,B1,"50 ohm nominal input / conjugate match balun to nRF51422-QFAA,",497-13637-1-ND,511-BAL-NRF01D3,,,y
1,0.8pF,CAPACITOR,0402_CAP,C1,0402 Capacitor,490-6269-1-ND,,,,y
2,12pF,CAPACITOR,0402_CAP,"C2, C3",0402 Capacitor,490-6197-1-ND,,,,y
2,18pF,CAPACITOR,0402_CAP,"C4, C5",0402 Capacitor,490-6203-1-ND,,,,y
1,1nF,CAPACITOR,0402_CAP,C6,0402 Capacitor,490-1303-1-ND,,,,y
1,2.2nF,CAPACITOR,0402_CAP,C7,0402 Capacitor,490-5419-1-ND,,,,y
1,10nF,CAPACITOR,0402_CAP,C8,0402 Capacitor,445-1260-1-ND,,,,y
1,47nF,CAPACITOR,0402_CAP,C9,0402 Capacitor,445-1264-1-ND,,,,y
11,0.1uF,CAPACITOR,0402_CAP,C10-C20,0402 Capacitor,490-1318-1-ND,,,,y
2,1uF,CAPACITOR,0402_CAP,"C21, C22",0402 Capacitor,445-4998-1-ND,,,,y
3,4.7uF,CAPACITOR,0402_CAP,"C23, C24, C25",0402 Capacitor,445-5947-1-ND,,,,y
2,4.7uF,CAP_POL0603,CAP0603,"C26, C27",0603 Capacitor,478-8656-1-ND,,,,y
1,GREEN,LED0603,LED-0603,D1,LEDs,160-1446-1-ND,,,,y
2,BLUE,LED0603,LED-0603,"D2, D3",LEDs,160-1837-1-ND,,,,y
1,RED,LED0603,LED-0603,D4,LEDs,160-1835-1-ND,,,,y
1,MICRO_USB_B_HIROSE_ZX62R-B-5P,MICRO_USB_B_HIROSE_ZX62R-B-5P,USB_MICRO_B-HIROSE-ZX62R-B-5P,J1,USB Micro B Connector,H11574CT-ND,798-ZX62R-B-5P,69W0714,,y
1,,PINHD-2X10,2X10,J2,PIN HEADER,609-3365-ND,,,,y
2,,JUMPER-2PTH,1X02,"J3, J4",Jumper,,,,,y
1,15nH,INDUCTOR0402,0402_CAP,L1,,587-1521-1-ND,,,,y
1,10uH,INDUCTOR0603,0603_CAP,L2,,490-4025-1-ND,,,,y
3,FERRITE_BEAD,FERRITE_BEAD,0603_CAP,"L3, L4, L5",,445-2166-1-ND,,,,y
4,1k,RESISTOR0402_RES,0402_RES,"R1, R2, R3, R4",Resistor,RHM1.0KCECT-ND,,,,y
2,10k,RESISTOR0402_RES,0402_RES,"R5, R6",Resistor,RHM10.0KCDCT-ND,,,,y
1,12k 1%,RESISTOR0402_RES,0402_RES,"R7, R8",Resistor,RHM12.0KCDCT-ND,,,,y
1,TRIPOINT-BREAKOUT,TRIPOINT-BREAKOUT,TRIPOINT-BREAKOUT,U1,UWB Ranging Module,,,,,y
1,NRF51822QF,NRF51822QF,QFN-48-6MM,U2,Multiprotocol Bluetooth® 4.0 low energy/2.4 GHz RF SoC,1490-1032-1-ND,949-NRF51822-QFAB-R7,,,y
1,MAX8887EZK33+T,MAX8887EZK33+T,SOT-23-5,U3,IC REG LDO 3.3V 0.3A TSOT23-5,MAX8887EZK33+TCT-ND,,,,y
1,FT232HQ,FT232HQ,QFN-48-8MM,U4,Single Channel USB to Multipurpose I/O IC,768-1102-1-ND,895-FT232HQ-REEL,65W8039,,y
1,16MHz,TXC-8Y,TXC-8Y,X1,CRYSTAL 16MHZ 8PF SMD,887-2003-1-ND,,,,y
1,TXC-8Z-12MHZ,TXC-8Z-12MHZ,TXC-8Z,X2,,887-1487-1-ND,,,,y
