Reference, Quantity, Value, Footprint, Datasheet, ManPartNo, DistPartNo
C1 C11 C3 ,3,10pF,Capacitors_SMD:C_0201,,GRM0335C1E100JA01D,490-8607-1-ND
C12 ,1,0.01uF,Capacitors_SMD:C_0201,,GRM033R71A103KA01D,490-3194-1-ND
C13 C14 C15 C16 C18 C19 C2 C20 C21 C23 C24 C27 C28 C29 C6 C9 ,16,0.1uF,Capacitors_SMD:C_0201,,GRM033R61A104KE15D,490-5881-1-ND
C10 C17 C8 ,3,100pF,Capacitors_SMD:C_0201,,GRM0335C1E101JA01D,490-3160-1-ND
C22 C4 ,2,4.7uF,Capacitors_SMD:C_0603,,GRM188F51A475ZE20D,490-3302-1-ND
C25 C26 C32 C36 ,4,12pF,Capacitors_SMD:C_0201,,GRM0335C1E120JA01D,490-3144-1-ND
C30 ,1,27pF,Capacitors_SMD:C_0201,,GRM0335C1E270JA01D,490-3150-1-ND
C31 ,1,820pF,Capacitors_SMD:C_0201,,GRM033R71E821KA01D,490-3183-1-ND
C33 ,1,10uF,Capacitors_SMD:C_0603,,GRM188R61C106MA73D,490-7201-1-ND
C34 ,1,1.2pF,Capacitors_SMD:C_0201,,GRM0335C1H1R2CA01D,490-6119-1-ND
C35 ,1,18pF,Capacitors_SMD:C_0201,,GRM0335C1H180JA01D,490-6117-1-ND
C37 C38 ,2,12pF,Capacitors_SMD:C_0402,,GRM1555C1H120JA01D,490-5924-1-ND
C5 C7 ,2,330pF,Capacitors_SMD:C_0201,,GRM033R71E331KA01D,490-3178-1-ND
R3 ,1,16k,Resistors_SMD:R_0201,,ERJ-1GEF1602C,P16.0KABCT-ND
R4 ,1,270,Resistors_SMD:R_0201,,ERJ-1GEF2700C,P270ABCT-ND
R1 R2 R5 ,3,11k,Resistors_SMD:R_0201,,ERJ-1GEF1102C,P11.0KABCT-ND
T1 ,1,HHM1595A1,polypoint:HHM1595A1,,HHM1595A1,445-3387-1-ND
U1 ,1,STM32F031G6U6,polypoint:UFQFPN-28,,STM32F031G6U6,497-13620-ND
U2 ,1,LXDC2HL,polypoint:LXDC2HL,,LXDC2HL18A-052,490-5791-1-ND
U3 ,1,DW1000,polypoint:QFN-48-EP-6x6mm,,DW1000-I-TR13,1479-1001-1-ND
U4 ,1,SKY13317,polypoint:MLPQ-UT-8-1.5X1.5mm,,SKY13317-373LF,863-1056-1-ND
U5 ,1,ProtoPoint_Module,polypoint:ProtoPoint_Module_Castellated,
X1 ,1,38.4M,polypoint:FA-128,,FA-20H 38.4000MF10Z-AS3,SER3631CT-ND
X2 ,1,16M,polypoint:FA-128,,FA-20H 16.0000MF10Z-AJ3,SER3913CT-ND
